time,A,B
0.0,0.9999999999999999,0.0
0.1,0.9512294375890337,0.04877056241096612
0.2,0.9048374453505303,0.0951625546494695
0.30000000000000004,0.860707966909003,0.13929203309099686
0.4,0.8187307290592386,0.18126927094076134
0.5,0.7788007521137135,0.22119924788628645
0.6000000000000001,0.7408181831480046,0.25918181685199543
0.7000000000000001,0.7046880349474786,0.2953119650525213
0.8,0.6703198997664863,0.3296801002335136
0.9,0.6376279416746593,0.36237205832534053
1.0,0.6065305303647509,0.39346946963524904
1.1,0.5769498480883993,0.4230501519116005
1.2000000000000002,0.5488117179418304,0.4511882820581696
1.3,0.5220458813136127,0.47795411868638715
1.4000000000000001,0.4965854255183707,0.5034145744816293
1.5,0.4723666682166868,0.5276333317833132
1.6,0.4493290889594004,0.5506709110405995
1.7000000000000002,0.42741505603934266,0.5725849439606573
1.8,0.40656979470184385,0.5934302052981562
1.9000000000000001,0.38674116885794707,0.613258831142053
2.0,0.36787958423172723,0.6321204157682729
2.1,0.3499378997690129,0.6500621002309872
2.2,0.33287124028840237,0.6671287597115977
2.3000000000000003,0.31663700892028723,0.6833629910797129
2.4000000000000004,0.3011946241219559,0.6988053758780441
2.5,0.2865054247120544,0.7134945752879457
2.6,0.272532576765209,0.7274674232347912
2.7,0.25924100168213426,0.7407589983178661
2.8000000000000003,0.24659749747630522,0.753402502523695
2.9000000000000004,0.23457050554032283,0.7654294944596773
3.0,0.22313009378638915,0.776869906213611
3.1,0.2122478849764124,0.7877521150235877
3.2,0.2018965893770335,0.7981034106229665
3.3000000000000003,0.19205017202042443,0.8079498279795757
3.4000000000000004,0.18268379167153817,0.817316208328462
3.5,0.17377415046321845,0.8262258495367817
3.6,0.16529905671359382,0.8347009432864063
3.7,0.1572373420586094,0.8427626579413907
3.8000000000000003,0.14956881537984076,0.8504311846201595
3.9000000000000004,0.14227426353686848,0.8577257364631318
4.0,0.13533547424347384,0.8646645257565264
4.1000000000000005,0.12873508740380615,0.871264912596194
4.2,0.12245660293809327,0.8775433970619069
4.3,0.11648432515180857,0.8835156748481916
4.4,0.1108033193303063,0.8891966806696938
4.5,0.10539938335657932,0.8946006166434207
4.6000000000000005,0.10025899662457977,0.8997410033754204
4.7,0.09536931032278034,0.9046306896772198
4.800000000000001,0.09071809673819466,0.9092819032618054
4.9,0.0862937270328428,0.9137062729671572
5.0,0.08208514387445752,0.9179148561255426
5.1000000000000005,0.07808181301382107,0.9219181869861789
5.2,0.07427372014817396,0.925726279851826
5.300000000000001,0.07065135574295839,0.9293486442570416
5.4,0.06720565488454248,0.9327943451154576
5.5,0.06392799751881041,0.9360720024811896
5.6000000000000005,0.060810198640875515,0.9391898013591246
5.7,0.05784445634791789,0.9421555436520821
5.800000000000001,0.055023349902263936,0.9449766500977359
5.9,0.052339834981915453,0.9476601650180846
6.0,0.04978719680025388,0.9502128031997461
6.1000000000000005,0.04735904726924196,0.9526409527307579
6.2,0.04504932363652098,0.954950676363479
6.300000000000001,0.042852247116261316,0.9571477528837385
6.4,0.04076231896792899,0.9592376810320709
6.5,0.03877432085155787,0.9612256791484421
6.6000000000000005,0.03688327935163733,0.9631167206483626
6.7,0.03508446078604142,0.9649155392139586
6.800000000000001,0.03337337232970063,0.9666266276702994
6.9,0.03174573487915866,0.9682542651208416
7.0,0.030197476780026152,0.969802523219974
7.1000000000000005,0.02872472460420653,0.9712752753957934
7.2,0.027323795705078993,0.9726762042949211
7.300000000000001,0.025991191964258094,0.974008808035742
7.4,0.02472358609182554,0.9752764139081747
7.5,0.02351780127368096,0.9764821987263193
7.6000000000000005,0.02237082283631871,0.9776291771636815
7.7,0.021279785129478486,0.9787202148705217
7.800000000000001,0.020241958290075423,0.9797580417099248
7.9,0.019254746217270358,0.9807452537827299
8.0,0.01831568098246855,0.9816843190175315
8.1,0.01742241472302466,0.9825775852769754
8.200000000000001,0.016572712942962097,0.983427287057038
8.3,0.015764451405734604,0.9842355485942657
8.4,0.01499560998325132,0.9850043900167488
8.5,0.014264265489844745,0.9857357345101554
8.6,0.013568588972329307,0.9864314110276707
8.700000000000001,0.012906841062290588,0.9870931589377095
8.8,0.012277366943453404,0.9877226330565466
8.9,0.011678592324927652,0.9883214076750725
9.0,0.011109020215628903,0.9888909797843712
9.1,0.010567226715229612,0.9894327732847704
9.200000000000001,0.010051855980568871,0.9899481440194312
9.3,0.009561619299770783,0.9904383807002294
9.4,0.009095291566306228,0.9909047084336939
9.5,0.008651708364604624,0.9913482916353956
9.600000000000001,0.00822975954594162,0.9917702404540585
9.700000000000001,0.007828388970352375,0.9921716110296478
9.8,0.0074465931694864575,0.9925534068305136
9.9,0.007083418133112384,0.9929165818668877
10.0,0.006737956339571855,0.9932620436604283
